MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,hour,day_of_week,month,status_encoded,anomaly
367145870,2024-01-01 21:13:26,41.6065,-70.28749,34.4,335.7,339.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,21,0,1,8,-1
367145870,2024-01-01 23:42:14,41.4678,-70.18993,34.2,330.9,334.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 21:15:30,41.62242,-70.28432,33.6,58.5,61.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,21,0,1,8,-1
367145870,2024-01-01 23:40:10,41.45073,-70.17623,34.4,328.8,330.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:44:18,41.48494,-70.20288,34.2,327.2,330.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:32:56,41.38736,-70.14198,33.9,336.9,340.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:45:20,41.49356,-70.20913,34.2,330.9,332.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:48:26,41.51905,-70.22861,34.0,332.9,336.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:50:30,41.53604,-70.24139,33.9,330.2,332.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:46:22,41.50197,-70.21584,34.1,329.7,333.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:51:32,41.54449,-70.24788,33.9,332.0,335.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:39:08,41.44199,-70.17067,34.4,337.1,340.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:56:42,41.58643,-70.28136,34.1,341.4,344.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:57:44,41.59582,-70.2853,34.4,344.4,348.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:54:38,41.56894,-70.26971,34.4,328.0,329.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
367145870,2024-01-01 23:47:24,41.51047,-70.22192,34.1,330.1,332.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,47.0,12.0,1.6,49.0,A,23,0,1,8,-1
